,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight
561,Emily Whitmire,Rear Naked Choke,SUB,Amanda Ribas,0,2,7,0,0,2:10,Loss,Women's Strawweight
562,Maurice Greene,Punch,KO/TKO,Junior Albini,2,1,37,0,0,3:38,Win,Heavyweight
563,Junior Albini,Punch,KO/TKO,Maurice Greene,0,1,19,0,0,3:38,Loss,Heavyweight
564,Chan Sung Jung,Punch,KO/TKO,Renato Moicano,2,1,16,0,0,0:58,Win,Featherweight
565,Renato Moicano,Punch,KO/TKO,Chan Sung Jung,0,1,0,0,0,0:58,Loss,Featherweight
566,Randy Brown,Kick,KO/TKO,Bryan Barberena,0,3,89,0,0,2:54,Win,Welterweight
567,Bryan Barberena,Kick,KO/TKO,Randy Brown,1,3,47,0,0,2:54,Loss,Welterweight
568,Andre Ewell,,U-DEC,Anderson Dos Santos,0,3,73,0,0,5:00,Win,Bantamweight
569,Anderson Dos Santos,,U-DEC,Andre Ewell,4,3,35,0,2,5:00,Loss,Bantamweight
570,Andrea Lee,,U-DEC,Montana De La Rosa,2,3,73,0,1,5:00,Win,Women's Flyweight
571,Montana De La Rosa,,U-DEC,Andrea Lee,0,3,14,1,5,5:00,Loss,Women's Flyweight
572,Kevin Holland,,U-DEC,Alessio Di Chirico,0,3,58,0,0,5:00,Win,Middleweight
573,Alessio Di Chirico,,U-DEC,Kevin Holland,0,3,51,0,2,5:00,Loss,Middleweight
574,Dan Ige,,U-DEC,Kevin Aguilar,3,3,71,0,1,5:00,Win,Featherweight
575,Kevin Aguilar,,U-DEC,Dan Ige,0,3,33,0,1,5:00,Loss,Featherweight
576,Ashley Yoder,,U-DEC,Syuri Kondo,8,3,75,0,1,5:00,Win,Women's Strawweight
577,Syuri Kondo,,U-DEC,Ashley Yoder,0,3,23,1,0,5:00,Loss,Women's Strawweight
578,Luis Pena,Punches,KO/TKO,Matt Wiman,7,3,87,1,1,1:14,Win,Lightweight
579,Matt Wiman,Punches,KO/TKO,Luis Pena,0,3,24,0,1,1:14,Loss,Lightweight
580,Jairzinho Rozenstruik,Punches,KO/TKO,Allen Crowder,0,1,4,0,0,0:09,Win,Heavyweight
581,Allen Crowder,Punches,KO/TKO,Jairzinho Rozenstruik,0,1,0,0,0,0:09,Loss,Heavyweight
582,Molly McCann,,U-DEC,Ariane Lipski,2,3,108,0,2,5:00,Win,Women's Flyweight
583,Ariane Lipski,,U-DEC,Molly McCann,0,3,68,0,0,5:00,Loss,Women's Flyweight
584,Deron Winn,,U-DEC,Eric Spicely,0,3,169,0,0,5:00,Win,Middleweight
585,Eric Spicely,,U-DEC,Deron Winn,0,3,108,0,0,5:00,Loss,Middleweight
586,Henry Cejudo,Punches,KO/TKO,Marlon Moraes,1,3,90,1,1,4:51,Win,Bantamweight
587,Marlon Moraes,Punches,KO/TKO,Henry Cejudo,0,3,57,0,0,4:51,Loss,Bantamweight
588,Valentina Shevchenko,Kick,KO/TKO,Jessica Eye,3,2,8,1,2,0:26,Win,Women's Flyweight
589,Jessica Eye,Kick,KO/TKO,Valentina Shevchenko,0,2,2,0,0,0:26,Loss,Women's Flyweight
590,Tony Ferguson,,KO/TKO,Donald Cerrone,0,2,104,0,0,5:00,Win,Lightweight
591,Donald Cerrone,,KO/TKO,Tony Ferguson,0,2,68,0,1,5:00,Loss,Lightweight
592,Petr Yan,,U-DEC,Jimmie Rivera,1,3,56,0,1,5:00,Win,Bantamweight
593,Jimmie Rivera,,U-DEC,Petr Yan,0,3,73,0,0,5:00,Loss,Bantamweight
594,Blagoy Ivanov,,U-DEC,Tai Tuivasa,0,3,73,0,2,5:00,Win,Heavyweight
595,Tai Tuivasa,,U-DEC,Blagoy Ivanov,0,3,64,0,0,5:00,Loss,Heavyweight
596,Tatiana Suarez,,U-DEC,Nina Ansaroff,2,3,75,0,4,5:00,Win,Women's Strawweight
597,Nina Ansaroff,,U-DEC,Tatiana Suarez,0,3,48,0,0,5:00,Loss,Women's Strawweight
598,Aljamain Sterling,,U-DEC,Pedro Munhoz,0,3,174,0,0,5:00,Win,Bantamweight
599,Pedro Munhoz,,U-DEC,Aljamain Sterling,0,3,105,0,0,5:00,Loss,Bantamweight
600,Alexa Grasso,,U-DEC,Karolina Kowalkiewicz,0,3,148,1,0,5:00,Win,Women's Strawweight
