,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight
860,Elizeu Zaleski dos Santos,Rear Naked Choke,SUB,Curtis Millender,2,1,6,1,1,2:35,Win,Welterweight
861,Curtis Millender,Rear Naked Choke,SUB,Elizeu Zaleski dos Santos,0,1,0,0,0,2:35,Loss,Welterweight
862,Niko Price,Punch,KO/TKO,Tim Means,0,1,32,0,0,4:50,Win,Welterweight
863,Tim Means,Punch,KO/TKO,Niko Price,1,1,31,0,1,4:50,Loss,Welterweight
864,Blagoy Ivanov,,U-DEC,Ben Rothwell,0,3,72,0,0,5:00,Win,Heavyweight
865,Ben Rothwell,,U-DEC,Blagoy Ivanov,0,3,70,0,0,5:00,Loss,Heavyweight
866,Beneil Dariush,Armbar,SUB,Drew Dober,4,2,37,1,2,4:41,Win,Lightweight
867,Drew Dober,Armbar,SUB,Beneil Dariush,0,2,31,0,0,4:41,Loss,Lightweight
868,Omari Akhmedov,,U-DEC,Tim Boetsch,0,3,52,0,0,5:00,Win,Middleweight
869,Tim Boetsch,,U-DEC,Omari Akhmedov,0,3,41,0,0,5:00,Loss,Middleweight
870,Anthony Rocco Martin,,U-DEC,Sergio Moraes,1,3,50,0,0,5:00,Win,Welterweight
871,Sergio Moraes,,U-DEC,Anthony Rocco Martin,2,3,19,0,3,5:00,Loss,Welterweight
872,Yana Kunitskaya,,U-DEC,Marion Reneau,0,3,98,0,1,5:00,Win,Women's Bantamweight
873,Marion Reneau,,U-DEC,Yana Kunitskaya,0,3,58,0,1,5:00,Loss,Women's Bantamweight
874,Grant Dawson,,U-DEC,Julian Erosa,5,3,57,1,6,5:00,Win,Featherweight
875,Julian Erosa,,U-DEC,Grant Dawson,0,3,49,1,0,5:00,Loss,Featherweight
876,Maurice Greene,,S-DEC,Jeff Hughes,0,3,70,0,0,5:00,Win,Heavyweight
877,Jeff Hughes,,S-DEC,Maurice Greene,0,3,66,0,0,5:00,Loss,Heavyweight
878,Matt Schnell,Triangle Choke,SUB,Louis Smolka,1,1,14,2,1,3:18,Win,Bantamweight
879,Louis Smolka,Triangle Choke,SUB,Matt Schnell,0,1,13,0,0,3:18,Loss,Bantamweight
880,Alex Morono,Elbows,KO/TKO,Zak Ottow,2,1,25,1,0,3:34,Win,Welterweight
881,Zak Ottow,Elbows,KO/TKO,Alex Morono,0,1,10,0,1,3:34,Loss,Welterweight
882,Alex White,,U-DEC,Dan Moret,0,3,49,3,2,5:00,Win,Lightweight
883,Dan Moret,,U-DEC,Alex White,0,3,42,0,1,5:00,Loss,Lightweight
884,Jon Jones,,U-DEC,Anthony Smith,0,5,125,0,3,5:00,Win,Light Heavyweight
885,Anthony Smith,,U-DEC,Jon Jones,0,5,36,0,0,5:00,Loss,Light Heavyweight
886,Kamaru Usman,,U-DEC,Tyron Woodley,7,5,141,0,2,5:00,Win,Welterweight
887,Tyron Woodley,,U-DEC,Kamaru Usman,0,5,34,0,0,5:00,Loss,Welterweight
888,Ben Askren,Other - Choke,SUB,Robbie Lawler,0,1,0,1,1,3:20,Win,Welterweight
889,Robbie Lawler,Other - Choke,SUB,Ben Askren,1,1,26,0,1,3:20,Loss,Welterweight
890,Weili Zhang,,U-DEC,Tecia Torres,4,3,63,0,2,5:00,Win,Women's Strawweight
891,Tecia Torres,,U-DEC,Weili Zhang,0,3,30,0,0,5:00,Loss,Women's Strawweight
892,Pedro Munhoz,Punch,KO/TKO,Cody Garbrandt,1,1,25,0,0,4:52,Win,Bantamweight
893,Cody Garbrandt,Punch,KO/TKO,Pedro Munhoz,0,1,21,0,0,4:52,Loss,Bantamweight
894,Zabit Magomedsharipov,,U-DEC,Jeremy Stephens,4,3,70,0,3,5:00,Win,Featherweight
895,Jeremy Stephens,,U-DEC,Zabit Magomedsharipov,0,3,41,0,0,5:00,Loss,Featherweight
896,Johnny Walker,Flying Knee,KO/TKO,Misha Cirkunov,0,1,4,0,0,0:36,Win,Light Heavyweight
897,Misha Cirkunov,Flying Knee,KO/TKO,Johnny Walker,0,1,1,0,0,0:36,Loss,Light Heavyweight
898,Cody Stamann,,U-DEC,Alejandro Perez,0,3,48,0,0,5:00,Win,Bantamweight
899,Alejandro Perez,,U-DEC,Cody Stamann,0,3,41,0,1,5:00,Loss,Bantamweight
900,Diego Sanchez,Punches,KO/TKO,Mickey Gall,5,2,56,0,4,4:13,Win,Welterweight
901,Mickey Gall,Punches,KO/TKO,Diego Sanchez,0,2,23,0,0,4:13,Loss,Welterweight
902,Edmen Shahbazyan,Elbows,KO/TKO,Charles Byrd,0,1,13,0,0,0:38,Win,Middleweight
903,Charles Byrd,Elbows,KO/TKO,Edmen Shahbazyan,0,1,1,0,0,0:38,Loss,Middleweight
904,Macy Chiasson,Punch,KO/TKO,Gina Mazany,0,1,25,0,0,1:49,Win,Women's Bantamweight
905,Gina Mazany,Punch,KO/TKO,Macy Chiasson,0,1,14,0,0,1:49,Loss,Women's Bantamweight
906,Hannah Cifers,,S-DEC,Polyana Viana,0,3,67,0,0,5:00,Win,Women's Strawweight
907,Polyana Viana,,S-DEC,Hannah Cifers,0,3,77,0,0,5:00,Loss,Women's Strawweight
908,Thiago Santos,Punch,KO/TKO,Jan Blachowicz,1,3,52,0,1,0:39,Win,Light Heavyweight
909,Jan Blachowicz,Punch,KO/TKO,Thiago Santos,0,3,20,0,0,0:39,Loss,Light Heavyweight
910,Stefan Struve,Arm Triangle,SUB,Marcos Rogerio de Lima,2,2,0,1,1,2:21,Win,Heavyweight
911,Marcos Rogerio de Lima,Arm Triangle,SUB,Stefan Struve,5,2,25,0,0,2:21,Loss,Heavyweight
912,Michal Oleksiejczuk,Punch,KO/TKO,Gian Villante,0,1,14,0,0,1:34,Win,Light Heavyweight
913,Gian Villante,Punch,KO/TKO,Michal Oleksiejczuk,0,1,9,0,0,1:34,Loss,Light Heavyweight
914,Liz Carmouche,,U-DEC,Lucie Pudilova,2,3,14,2,3,5:00,Win,Women's Flyweight
915,Lucie Pudilova,,U-DEC,Liz Carmouche,1,3,33,2,0,5:00,Loss,Women's Flyweight
916,Petr Yan,,U-DEC,John Dodson,0,3,80,0,2,5:00,Win,Bantamweight
917,John Dodson,,U-DEC,Petr Yan,0,3,30,0,2,5:00,Loss,Bantamweight
918,Magomed Ankalaev,,U-DEC,Klidson Abreu,2,3,30,0,1,5:00,Win,Light Heavyweight
919,Klidson Abreu,,U-DEC,Magomed Ankalaev,0,3,23,0,0,5:00,Loss,Light Heavyweight
920,Dwight Grant,Punch,KO/TKO,Carlo Pedersoli,0,1,20,0,0,4:59,Win,Welterweight
921,Carlo Pedersoli,Punch,KO/TKO,Dwight Grant,0,1,17,0,1,4:59,Loss,Welterweight
922,Chris Fishgold,Rear Naked Choke,SUB,Daniel Teymur,5,2,14,2,5,1:10,Win,Featherweight
923,Daniel Teymur,Rear Naked Choke,SUB,Chris Fishgold,1,2,17,0,1,1:10,Loss,Featherweight
924,Gillian Robertson,Rear Naked Choke,SUB,Veronica Macedo,7,2,5,1,2,3:27,Win,Women's Flyweight
925,Veronica Macedo,Rear Naked Choke,SUB,Gillian Robertson,1,2,23,0,1,3:27,Loss,Women's Flyweight
926,Damir Hadzovic,Punches,KO/TKO,Polo Reyes,3,2,58,0,2,2:03,Win,Lightweight
927,Polo Reyes,Punches,KO/TKO,Damir Hadzovic,0,2,24,0,0,2:03,Loss,Lightweight
928,Ismail Naurdiev,,U-DEC,Michel Prazeres,4,3,63,1,0,5:00,Win,Welterweight
929,Michel Prazeres,,U-DEC,Ismail Naurdiev,3,3,15,0,3,5:00,Loss,Welterweight
930,Diego Ferreira,,U-DEC,Rustam Khabilov,0,3,83,1,0,5:00,Win,Lightweight
931,Rustam Khabilov,,U-DEC,Diego Ferreira,0,3,43,0,3,5:00,Loss,Lightweight
932,Damir Ismagulov,,U-DEC,Joel Alvarez,0,3,64,0,0,5:00,Win,Lightweight
933,Joel Alvarez,,U-DEC,Damir Ismagulov,0,3,38,0,0,5:00,Loss,Lightweight
934,Francis Ngannou,Punches,KO/TKO,Cain Velasquez,0,1,6,0,0,0:26,Win,Heavyweight
935,Cain Velasquez,Punches,KO/TKO,Francis Ngannou,0,1,1,0,0,0:26,Loss,Heavyweight
936,Paul Felder,,U-DEC,James Vick,0,3,55,0,0,5:00,Win,Lightweight
937,James Vick,,U-DEC,Paul Felder,0,3,61,0,0,5:00,Loss,Lightweight
938,Cynthia Calvillo,,U-DEC,Cortney Casey,0,3,82,0,0,5:00,Win,Women's Strawweight
939,Cortney Casey,,U-DEC,Cynthia Calvillo,0,3,73,0,0,5:00,Loss,Women's Strawweight
940,Kron Gracie,Rear Naked Choke,SUB,Alex Caceres,1,1,2,1,1,2:06,Win,Featherweight
941,Alex Caceres,Rear Naked Choke,SUB,Kron Gracie,0,1,4,0,0,2:06,Loss,Featherweight
942,Vicente Luque,Knee,KO/TKO,Bryan Barberena,1,3,163,2,0,4:54,Win,Welterweight
943,Bryan Barberena,Knee,KO/TKO,Vicente Luque,0,3,169,0,0,4:54,Loss,Welterweight
944,Andre Fili,,U-DEC,Myles Jury,0,3,98,0,0,5:00,Win,Featherweight
945,Myles Jury,,U-DEC,Andre Fili,2,3,76,0,0,5:00,Loss,Featherweight
946,Aljamain Sterling,,U-DEC,Jimmie Rivera,0,3,101,0,0,5:00,Win,Bantamweight
947,Jimmie Rivera,,U-DEC,Aljamain Sterling,1,3,24,0,0,5:00,Loss,Bantamweight
948,Manny Bermudez,Guillotine Choke,SUB,Benito Lopez,2,1,7,1,1,3:09,Win,Bantamweight
949,Benito Lopez,Guillotine Choke,SUB,Manny Bermudez,0,1,7,0,0,3:09,Loss,Bantamweight
950,Andrea Lee,,U-DEC,Ashlee Evans-Smith,0,3,111,0,0,5:00,Win,Women's Flyweight
951,Ashlee Evans-Smith,,U-DEC,Andrea Lee,2,3,66,0,2,5:00,Loss,Women's Flyweight
952,Nik Lentz,,U-DEC,Scott Holtzman,2,3,71,1,5,5:00,Win,Lightweight
953,Scott Holtzman,,U-DEC,Nik Lentz,0,3,54,0,0,5:00,Loss,Lightweight
954,Luke Sanders,Punch,KO/TKO,Renan Barao,0,2,39,0,0,1:01,Win,Bantamweight
955,Renan Barao,Punch,KO/TKO,Luke Sanders,0,2,40,0,0,1:01,Loss,Bantamweight
956,Emily Whitmire,Rear Naked Choke,SUB,Alexandra Albu,2,1,3,1,1,1:01,Win,Women's Strawweight
957,Alexandra Albu,Rear Naked Choke,SUB,Emily Whitmire,0,1,2,0,0,1:01,Loss,Women's Strawweight
958,Israel Adesanya,,U-DEC,Anderson Silva,0,3,65,0,0,5:00,Win,Middleweight
959,Anderson Silva,,U-DEC,Israel Adesanya,0,3,31,0,0,5:00,Loss,Middleweight
960,Lando Vannata,Kimura,SUB,Marcos Mariano,2,1,20,1,1,4:55,Win,Lightweight
961,Marcos Mariano,Kimura,SUB,Lando Vannata,0,1,3,0,0,4:55,Loss,Lightweight
962,Ricky Simon,,U-DEC,Rani Yahya,2,3,54,0,4,5:00,Win,Bantamweight
963,Rani Yahya,,U-DEC,Ricky Simon,0,3,47,0,0,5:00,Loss,Bantamweight
964,Montana De La Rosa,Armbar,SUB,Nadia Kassem,7,2,21,3,2,2:37,Win,Women's Flyweight
965,Nadia Kassem,Armbar,SUB,Montana De La Rosa,0,2,5,0,0,2:37,Loss,Women's Flyweight
966,Jimmy Crute,Punches,KO/TKO,Sam Alvey,0,1,14,0,0,2:49,Win,Light Heavyweight
967,Sam Alvey,Punches,KO/TKO,Jimmy Crute,0,1,3,0,0,2:49,Loss,Light Heavyweight
968,Devonte Smith,Punch,KO/TKO,Dong Hyun Ma,0,1,19,0,0,3:53,Win,Lightweight
969,Dong Hyun Ma,Punch,KO/TKO,Devonte Smith,0,1,1,0,0,3:53,Loss,Lightweight
970,Shane Young,,U-DEC,Austin Arnett,0,3,120,0,0,5:00,Win,Featherweight
971,Austin Arnett,,U-DEC,Shane Young,0,3,77,0,0,5:00,Loss,Featherweight
972,Kai Kara-France,,S-DEC,Raulian Paiva,0,3,58,0,2,5:00,Win,Flyweight
973,Raulian Paiva,,S-DEC,Kai Kara-France,1,3,67,1,0,5:00,Loss,Flyweight
974,Kyung Ho Kang,Rear Naked Choke,SUB,Teruto Ishihara,1,1,26,1,1,3:59,Win,Bantamweight
975,Teruto Ishihara,Rear Naked Choke,SUB,Kyung Ho Kang,0,1,17,0,0,3:59,Loss,Bantamweight
976,Jalin Turner,Kick,KO/TKO,Callan Potter,1,1,9,0,0,0:53,Win,Lightweight
977,Callan Potter,Kick,KO/TKO,Jalin Turner,0,1,3,0,0,0:53,Loss,Lightweight
978,Jonathan Martinez,,U-DEC,Wuliji Buren,4,3,47,0,1,5:00,Win,Bantamweight
979,Wuliji Buren,,U-DEC,Jonathan Martinez,7,3,17,1,3,5:00,Loss,Bantamweight
980,Marlon Moraes,Guillotine Choke,SUB,Raphael Assuncao,2,1,10,1,0,3:17,Win,Bantamweight
981,Raphael Assuncao,Guillotine Choke,SUB,Marlon Moraes,0,1,2,0,0,3:17,Loss,Bantamweight
982,Jose Aldo,Punches,KO/TKO,Renato Moicano,0,2,26,0,0,0:44,Win,Featherweight
983,Renato Moicano,Punches,KO/TKO,Jose Aldo,0,2,24,0,0,0:44,Loss,Featherweight
984,Demian Maia,Rear Naked Choke,SUB,Lyman Good,1,1,0,2,2,2:38,Win,Welterweight
985,Lyman Good,Rear Naked Choke,SUB,Demian Maia,0,1,0,0,0,2:38,Loss,Welterweight
986,Charles Oliveira,Anaconda Choke,SUB,David Teymur,1,2,28,1,1,0:55,Win,Lightweight
987,David Teymur,Anaconda Choke,SUB,Charles Oliveira,0,2,26,0,0,0:55,Loss,Lightweight
988,Johnny Walker,Spinning Back Fist,KO/TKO,Justin Ledet,0,1,7,0,0,0:15,Win,Light Heavyweight
989,Justin Ledet,Spinning Back Fist,KO/TKO,Johnny Walker,0,1,0,0,0,0:15,Loss,Light Heavyweight
990,Livinha Souza,,S-DEC,Sarah Frota,2,3,23,3,4,5:00,Win,Women's Strawweight
991,Sarah Frota,,S-DEC,Livinha Souza,0,3,32,0,0,5:00,Loss,Women's Strawweight
992,Markus Perez,Anaconda Choke,SUB,Anthony Hernandez,1,2,16,1,1,1:07,Win,Middleweight
993,Anthony Hernandez,Anaconda Choke,SUB,Markus Perez,0,2,17,0,0,1:07,Loss,Middleweight
994,Mara Romero Borella,,S-DEC,Taila Santos,2,3,29,0,2,5:00,Win,Women's Flyweight
995,Taila Santos,,S-DEC,Mara Romero Borella,1,3,36,2,1,5:00,Loss,Women's Flyweight
996,Thiago Alves,,S-DEC,Max Griffin,0,3,83,0,0,5:00,Win,Welterweight
997,Max Griffin,,S-DEC,Thiago Alves,2,3,112,0,2,5:00,Loss,Welterweight
998,Jairzinho Rozenstruik,Kick,KO/TKO,Junior Albini,0,2,19,0,0,0:54,Win,Heavyweight
999,Junior Albini,Kick,KO/TKO,Jairzinho Rozenstruik,4,2,18,0,2,0:54,Loss,Heavyweight
1000,Geraldo de Freitas,,U-DEC,Felipe Colares,11,3,49,0,6,5:00,Win,Featherweight
1001,Felipe Colares,,U-DEC,Geraldo de Freitas,4,3,21,0,3,5:00,Loss,Featherweight
1002,Said Nurmagomedov,Spinning Back Kick,KO/TKO,Ricardo Ramos,0,1,17,0,0,2:28,Win,Bantamweight
1003,Ricardo Ramos,Spinning Back Kick,KO/TKO,Said Nurmagomedov,0,1,2,0,0,2:28,Loss,Bantamweight
1004,Rogerio Bontorin,,S-DEC,Magomed Bibulatov,2,3,40,2,1,5:00,Win,Flyweight
1005,Magomed Bibulatov,,S-DEC,Rogerio Bontorin,0,3,58,0,4,5:00,Loss,Flyweight
1006,Henry Cejudo,Punches,KO/TKO,TJ Dillashaw,0,1,18,0,0,0:32,Win,Flyweight
1007,TJ Dillashaw,Punches,KO/TKO,Henry Cejudo,0,1,1,0,0,0:32,Loss,Flyweight
1008,Allen Crowder,,DQ,Greg Hardy,2,2,12,1,1,2:28,Win,Heavyweight
1009,Greg Hardy,,DQ,Allen Crowder,0,2,29,0,0,2:28,Loss,Heavyweight
1010,Gregor Gillespie,Punches,KO/TKO,Yancy Medeiros,7,2,51,0,6,4:59,Win,Lightweight
1011,Yancy Medeiros,Punches,KO/TKO,Gregor Gillespie,0,2,1,0,0,4:59,Loss,Lightweight
1012,Joseph Benavidez,,U-DEC,Dustin Ortiz,2,3,21,0,7,5:00,Win,Flyweight
1013,Dustin Ortiz,,U-DEC,Joseph Benavidez,2,3,49,0,3,5:00,Loss,Flyweight
1014,Paige VanZant,Armbar,SUB,Rachael Ostovich,1,2,17,2,0,1:50,Win,Women's Flyweight
1015,Rachael Ostovich,Armbar,SUB,Paige VanZant,4,2,10,0,4,1:50,Loss,Women's Flyweight
1016,Glover Teixeira,Arm Triangle,SUB,Karl Roberson,3,1,6,1,1,3:21,Win,Light Heavyweight
1017,Karl Roberson,Arm Triangle,SUB,Glover Teixeira,2,1,24,0,0,3:21,Loss,Light Heavyweight
1018,Donald Cerrone,Kick,KO/TKO,Alexander Hernandez,0,2,80,0,1,3:43,Win,Lightweight
1019,Alexander Hernandez,Kick,KO/TKO,Donald Cerrone,0,2,49,0,0,3:43,Loss,Lightweight
1020,Joanne Calderwood,,U-DEC,Ariane Lipski,4,3,85,2,1,5:00,Win,Women's Flyweight
1021,Ariane Lipski,,U-DEC,Joanne Calderwood,1,3,53,0,1,5:00,Loss,Women's Flyweight
1022,Alonzo Menifield,Punch,KO/TKO,Vinicius Moreira,0,1,33,0,0,3:56,Win,Light Heavyweight
1023,Vinicius Moreira,Punch,KO/TKO,Alonzo Menifield,0,1,11,0,0,3:56,Loss,Light Heavyweight
1024,Cory Sandhagen,Armbar,SUB,Mario Bautista,2,1,17,2,1,3:31,Win,Bantamweight
1025,Mario Bautista,Armbar,SUB,Cory Sandhagen,0,1,9,0,1,3:31,Loss,Bantamweight
1026,Dennis Bermudez,,U-DEC,Te Edwards,8,3,63,2,5,5:00,Win,Lightweight
1027,Te Edwards,,U-DEC,Dennis Bermudez,0,3,23,0,0,5:00,Loss,Lightweight
1028,Geoff Neal,,U-DEC,Belal Muhammad,0,3,71,0,0,5:00,Win,Welterweight
1029,Belal Muhammad,,U-DEC,Geoff Neal,0,3,63,0,0,5:00,Loss,Welterweight
1030,Chance Rencountre,Rear Naked Choke,SUB,Kyle Stewart,1,1,6,1,2,2:25,Win,Welterweight
1031,Kyle Stewart,Rear Naked Choke,SUB,Chance Rencountre,0,1,2,0,0,2:25,Loss,Welterweight
