,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight,Fight Time (s),Fight Time (mins)
280,Irene Aldana,,U-DEC,Vanessa Melo,0,3,125,0,0,5:00,Win,Women's Bantamweight,900,15.0
282,Steven Peterson,Spinning Back Fist,KO/TKO,Martin Bravo,0,2,49,0,0,1:31,Win,Featherweight,391,6.516666666666667
284,Jose Quinonez,,U-DEC,Carlos Huachin,2,3,60,0,2,5:00,Win,Bantamweight,900,15.0
286,Kyle Nelson,Punch,KO/TKO,Polo Reyes,0,1,12,0,0,1:36,Win,Featherweight,96,1.6
288,Angela Hill,Elbow,KO/TKO,Ariane Carnelossi,0,3,92,0,0,1:56,Win,Women's Strawweight,716,11.933333333333334
290,Sergio Pettis,,U-DEC,Tyson Nam,0,3,96,0,0,5:00,Win,Flyweight,900,15.0
292,Paul Craig,Rear Naked Choke,SUB,Vinicius Moreira,1,1,18,1,1,3:19,Win,Light Heavyweight,199,3.316666666666667
294,Bethe Correia,,U-DEC,Sijara Eubanks,0,3,59,0,0,5:00,Win,Women's Bantamweight,900,15.0
296,Claudio Puelles,,U-DEC,Marcos Mariano,7,3,22,2,4,5:00,Win,Lightweight,900,15.0
298,Justin Gaethje,Punch,KO/TKO,Donald Cerrone,0,1,40,0,0,4:18,Win,Lightweight,258,4.3
300,Glover Teixeira,,S-DEC,Nikita Krylov,4,3,43,2,1,5:00,Win,Light Heavyweight,900,15.0
304,Tristan Connelly,,U-DEC,Michel Pereira,3,3,64,1,0,5:00,Win,Welterweight,900,15.0
306,Uriah Hall,,S-DEC,Antonio Carlos Junior,1,3,34,0,0,5:00,Win,Middleweight,900,15.0
308,Misha Cirkunov,Peruvian Necktie,SUB,Jimmy Crute,4,1,6,1,1,3:38,Win,Light Heavyweight,218,3.6333333333333333
310,Augusto Sakai,Punches,KO/TKO,Marcin Tybura,0,1,15,0,0,0:59,Win,Heavyweight,59,0.9833333333333333
312,Miles Johns,,S-DEC,Cole Smith,2,3,31,0,1,5:00,Win,Bantamweight,900,15.0
314,Hunter Azure,,U-DEC,Brad Katona,1,3,41,0,0,5:00,Win,Bantamweight,900,15.0
316,Chas Skelly,,U-DEC,Jordan Griffin,3,3,21,3,1,5:00,Win,Featherweight,900,15.0
318,Louis Smolka,Punch,KO/TKO,Ryan MacDonald,0,1,59,0,0,4:43,Win,Bantamweight,283,4.716666666666667
320,Austin Hubbard,,U-DEC,Kyle Prepolec,4,3,51,0,3,5:00,Win,Lightweight,900,15.0
322,Khabib Nurmagomedov,Rear Naked Choke,SUB,Dustin Poirier,5,3,22,2,7,2:06,Win,Lightweight,726,12.1
324,Paul Felder,,S-DEC,Edson Barboza,0,3,56,0,0,5:00,Win,Lightweight,900,15.0
326,Islam Makhachev,,U-DEC,Davi Ramos,0,3,43,0,0,5:00,Win,Lightweight,900,15.0
328,Curtis Blaydes,Elbow,KO/TKO,Shamil Abdurakhimov,3,2,25,0,5,2:22,Win,Heavyweight,442,7.366666666666666
330,Diego Ferreira,,U-DEC,Mairbek Taisumov,0,3,109,0,0,5:00,Win,Lightweight,900,15.0
332,Joanne Calderwood,,S-DEC,Andrea Lee,1,3,101,0,2,5:00,Win,Women's Flyweight,900,15.0
336,Sarah Moras,Elbows,KO/TKO,Liana Jojua,1,3,44,1,0,2:26,Win,Women's Bantamweight,746,12.433333333333334
338,Ottman Azaitar,Punch,KO/TKO,Teemu Packalen,0,1,27,0,0,3:33,Win,Lightweight,213,3.55
340,Belal Muhammad,Rear Naked Choke,SUB,Takashi Sato,2,3,49,1,2,1:55,Win,Welterweight,715,11.916666666666666
342,Muslim Salikhov,Punch,KO/TKO,Nordine Taleb,0,1,10,0,0,4:26,Win,Welterweight,266,4.433333333333334
344,Omari Akhmedov,,U-DEC,Zak Cummings,3,3,26,0,2,5:00,Win,Middleweight,900,15.0
346,Don Madge,,U-DEC,Fares Ziam,2,3,21,0,3,5:00,Win,Lightweight,900,15.0
348,Weili Zhang,Punch,KO/TKO,Jessica Andrade,0,1,29,0,0,0:42,Win,Women's Strawweight,42,0.7
350,Jingliang Li,Punches,KO/TKO,Elizeu Zaleski dos Santos,0,3,59,0,2,4:51,Win,Welterweight,891,14.85
352,Kai Kara-France,,U-DEC,Mark De La Rosa,0,3,91,0,1,5:00,Win,Flyweight,900,15.0
354,Kenan Song,,U-DEC,Derrick Krantz,0,3,58,0,0,5:00,Win,Welterweight,900,15.0
356,Mizuki Inoue,,S-DEC,Yanan Wu,0,3,93,0,0,5:00,Win,Women's Flyweight,900,15.0
358,Anthony Hernandez,Anaconda Choke,SUB,Junyong Park,1,2,59,1,6,4:39,Win,Middleweight,579,9.65
360,Su Mudaerji,,U-DEC,Andre Soukhamthath,3,3,93,0,1,5:00,Win,Bantamweight,900,15.0
362,Da-Un Jung,Guillotine Choke,SUB,Khadis Ibragimov,0,3,81,1,0,1:59,Win,Light Heavyweight,719,11.983333333333333
364,Damir Ismagulov,,U-DEC,Thiago Moises,0,3,71,0,0,5:00,Win,Lightweight,900,15.0
366,Heili Alateng,,U-DEC,Danaa Batgerel,2,3,36,0,3,5:00,Win,Bantamweight,900,15.0
368,Karol Rosa,,S-DEC,Lara Procopio,0,3,171,0,0,5:00,Win,Women's Bantamweight,900,15.0
370,Stipe Miocic,Punches,KO/TKO,Daniel Cormier,0,4,123,0,1,4:09,Win,Heavyweight,1149,19.15
372,Nate Diaz,,U-DEC,Anthony Pettis,4,3,114,0,1,5:00,Win,Welterweight,900,15.0
374,Paulo Costa,,U-DEC,Yoel Romero,0,3,118,0,0,5:00,Win,Middleweight,900,15.0
376,Sodiq Yusuff,Punch,KO/TKO,Gabriel Benitez,0,1,34,0,0,4:14,Win,Featherweight,254,4.233333333333333
378,Derek Brunson,,U-DEC,Ian Heinisch,1,3,81,0,2,5:00,Win,Middleweight,900,15.0
380,Khama Worthy,Punch,KO/TKO,Devonte Smith,0,1,21,0,0,4:15,Win,Lightweight,255,4.25
382,Cory Sandhagen,,U-DEC,Raphael Assuncao,0,3,62,0,0,5:00,Win,Bantamweight,900,15.0
384,Drakkar Klose,,U-DEC,Christos Giagos,2,3,99,0,2,5:00,Win,Lightweight,900,15.0
386,Casey Kenney,,U-DEC,Manny Bermudez,7,3,43,1,2,5:00,Win,Catch Weight,900,15.0
388,Hannah Cifers,,U-DEC,Jodie Esquibel,0,3,70,1,1,5:00,Win,Women's Strawweight,900,15.0
390,Kyung Ho Kang,,S-DEC,Brandon Davis,3,3,50,0,3,5:00,Win,Bantamweight,900,15.0
392,Sabina Mazo,,U-DEC,Shana Dobson,3,3,108,0,4,5:00,Win,Women's Flyweight,900,15.0
394,Valentina Shevchenko,,U-DEC,Liz Carmouche,3,5,42,0,1,5:00,Win,Women's Flyweight,1500,25.0
396,Vicente Luque,,S-DEC,Mike Perry,0,3,84,1,0,5:00,Win,Welterweight,900,15.0
